Month,Year,mm/month
May,2000,1.95643
Jun,2000,0.6961938
Jul,2000,0.9237449
Aug,2000,0.7188561
Sep,2000,1.2551
Oct,2000,0.7780104
Nov,2000,0.2338435
Dec,2000,0.8086941
Jan,2001,2.766265
Feb,2001,21.98365
Mar,2001,10.05655
Apr,2001,13.85474
May,2001,2.125422
Jun,2001,0.7308152
Jul,2001,0.9737517
Aug,2001,0.8218977
Sep,2001,1.2551
Oct,2001,0.7882504
Nov,2001,0.2340103
Dec,2001,0.8243086
Jan,2002,2.766265
Feb,2002,25.50587
Mar,2002,36.97979
Apr,2002,24.50109
May,2002,2.125422
Jun,2002,0.7308152
Jul,2002,0.9737517
Aug,2002,0.7188561
Sep,2002,1.2551
Oct,2002,0.7882504
Nov,2002,0.2340103
Dec,2002,0.8243086
Jan,2003,2.766265
Feb,2003,22.9856
Mar,2003,13.10354
Apr,2003,6.300401
May,2003,2.336651
Jun,2003,0.8189024
Jul,2003,0.9737517
Aug,2003,0.7756599
Sep,2003,2.277777
Oct,2003,0.7780104
Nov,2003,0.2340103
Dec,2003,0.8086941
Jan,2004,2.766265
Feb,2004,22.94838
Mar,2004,10.11107
Apr,2004,6.273796
May,2004,2.366069
Jun,2004,0.7308152
Jul,2004,0.9237449
Aug,2004,0.8912399
Sep,2004,1.780388
Oct,2004,0.7882504
Nov,2004,0.2340103
Dec,2004,0.8243086
Jan,2005,2.766265
Feb,2005,22.53635
Mar,2005,30.14591
Apr,2005,6.268658
May,2005,2.125422
Jun,2005,0.8566116
Jul,2005,1.003311
Aug,2005,0.7756599
Sep,2005,1.492356
Oct,2005,0.7882504
Nov,2005,0.2340103
Dec,2005,0.8243086
Jan,2006,2.766265
Feb,2006,22.53635
Mar,2006,9.805679
Apr,2006,6.300401
May,2006,1.977439
Jun,2006,1.253373
Jul,2006,0.9237449
Aug,2006,0.7188561
Sep,2006,1.2551
Oct,2006,0.7882504
Nov,2006,0.2338435
Dec,2006,0.8243086
Jan,2007,2.766265
Feb,2007,53.14944
Mar,2007,10.75006
Apr,2007,6.226508
May,2007,1.977439
Jun,2007,0.6961938
Jul,2007,0.9237449
Aug,2007,0.7188561
Sep,2007,1.2551
Oct,2007,0.7882504
Nov,2007,0.2338435
Dec,2007,0.8086941
Jan,2008,2.766265
Feb,2008,26.0618
Mar,2008,39.69751
Apr,2008,8.849553
May,2008,1.946375
Jun,2008,1.071894
Jul,2008,0.9237449
Aug,2008,0.7756599
Sep,2008,1.962428
Oct,2008,0.7780104
Nov,2008,0.2340103
Dec,2008,0.8086941
Jan,2009,2.766265
Feb,2009,22.53635
Mar,2009,9.390185
Apr,2009,6.454562
May,2009,2.125422
Jun,2009,0.7308152
Jul,2009,0.9237449
Aug,2009,0.7188561
Sep,2009,1.189199
Oct,2009,0.7882504
Nov,2009,0.2340103
Dec,2009,0.8086941
Jan,2010,2.766265
Feb,2010,64.77103
Mar,2010,39.83392
Apr,2010,7.058502
May,2010,2.125422
Jun,2010,0.8544701
Jul,2010,0.9237449
Aug,2010,0.7188561
Sep,2010,1.2551
Oct,2010,0.7771522
Nov,2010,0.2340103
Dec,2010,0.8086941
Jan,2011,2.766265
Feb,2011,53.28171
Mar,2011,9.361042
Apr,2011,20.18107
May,2011,2.125422
Jun,2011,0.947277
Jul,2011,1.041198
Aug,2011,0.7188561
Sep,2011,1.2551
Oct,2011,0.7882504
Nov,2011,0.2340103
Dec,2011,0.8243086
Jan,2012,2.766265
Feb,2012,38.14745
Mar,2012,11.38229
Apr,2012,23.68234
May,2012,2.080663
Jun,2012,0.7308152
Jul,2012,0.9237449
Aug,2012,0.7188561
Sep,2012,1.2551
Oct,2012,0.7773856
Nov,2012,0.2340103
Dec,2012,0.8243086
Jan,2013,3.184096
Feb,2013,35.32366
Mar,2013,14.44097
Apr,2013,8.516645
May,2013,3.343852
Jun,2013,1.934357
Jul,2013,1.275426
Aug,2013,0.8445398
Sep,2013,1.981629
Oct,2013,1.117822
Nov,2013,0.2849096
Dec,2013,1.091084
Jan,2014,2.878281
Feb,2014,27.8931
Mar,2014,14.44097
Apr,2014,8.516645
May,2014,3.271896
Jun,2014,1.569184
Jul,2014,1.506839
Aug,2014,0.9171234
Sep,2014,1.234841
Oct,2014,0.9091433
