,Degree-K,Degree-C
6/1/1959,2.85E+02,1.17E+01
7/1/1959,2.84E+02,1.09E+01
8/1/1959,2.84E+02,1.13E+01
9/1/1959,2.84E+02,1.11E+01
10/1/1959,2.84E+02,1.07E+01
11/1/1959,2.84E+02,1.09E+01
12/1/1959,2.84E+02,1.07E+01
1/1/1960,2.83E+02,1.00E+01
2/1/1960,2.84E+02,1.04E+01
3/1/1960,2.84E+02,1.04E+01
4/1/1960,2.85E+02,1.15E+01
5/1/1960,2.85E+02,1.15E+01
6/1/1960,2.84E+02,1.06E+01
7/1/1960,2.84E+02,1.07E+01
8/1/1960,2.84E+02,1.04E+01
9/1/1960,2.83E+02,1.00E+01
10/1/1960,2.83E+02,9.84E+00
11/1/1960,2.83E+02,1.01E+01
12/1/1960,2.82E+02,8.66E+00
1/1/1961,2.82E+02,9.10E+00
2/1/1961,2.82E+02,9.19E+00
3/1/1961,2.82E+02,8.89E+00
4/1/1961,2.83E+02,9.35E+00
5/1/1961,2.82E+02,8.92E+00
6/1/1961,2.82E+02,9.26E+00
7/1/1961,2.83E+02,9.57E+00
8/1/1961,2.82E+02,9.08E+00
9/1/1961,2.82E+02,8.79E+00
10/1/1961,2.82E+02,9.33E+00
11/1/1961,2.82E+02,8.91E+00
12/1/1961,2.82E+02,8.43E+00
1/1/1962,2.81E+02,8.24E+00
2/1/1962,2.81E+02,7.75E+00
3/1/1962,2.82E+02,8.51E+00
4/1/1962,2.82E+02,8.71E+00
5/1/1962,2.82E+02,9.20E+00
6/1/1962,2.82E+02,9.14E+00
7/1/1962,2.83E+02,9.65E+00
8/1/1962,2.83E+02,9.39E+00
9/1/1962,2.83E+02,9.47E+00
10/1/1962,2.82E+02,9.08E+00
11/1/1962,2.82E+02,8.68E+00
12/1/1962,2.82E+02,8.40E+00
1/1/1963,2.82E+02,8.61E+00
2/1/1963,2.82E+02,8.66E+00
3/1/1963,2.82E+02,9.11E+00
4/1/1963,2.83E+02,9.51E+00
5/1/1963,2.83E+02,9.87E+00
6/1/1963,2.84E+02,1.04E+01
7/1/1963,2.84E+02,1.04E+01
8/1/1963,2.83E+02,1.03E+01
9/1/1963,2.84E+02,1.04E+01
10/1/1963,2.84E+02,1.04E+01
11/1/1963,2.84E+02,1.04E+01
12/1/1963,2.83E+02,9.68E+00
1/1/1964,2.83E+02,1.03E+01
2/1/1964,2.83E+02,9.97E+00
3/1/1964,2.84E+02,1.05E+01
4/1/1964,2.84E+02,1.08E+01
5/1/1964,2.84E+02,1.06E+01
6/1/1964,2.85E+02,1.14E+01
7/1/1964,2.84E+02,1.13E+01
8/1/1964,2.84E+02,1.11E+01
9/1/1964,2.84E+02,1.08E+01
10/1/1964,2.84E+02,1.05E+01
11/1/1964,2.84E+02,1.09E+01
12/1/1964,2.84E+02,1.09E+01
1/1/1965,2.84E+02,1.11E+01
2/1/1965,2.84E+02,1.11E+01
3/1/1965,2.84E+02,1.11E+01
4/1/1965,2.84E+02,1.11E+01
5/1/1965,2.85E+02,1.14E+01
6/1/1965,2.85E+02,1.15E+01
7/1/1965,2.84E+02,1.07E+01
8/1/1965,2.84E+02,1.13E+01
9/1/1965,2.84E+02,1.10E+01
10/1/1965,2.84E+02,1.04E+01
11/1/1965,2.84E+02,1.04E+01
12/1/1965,2.83E+02,9.97E+00
1/1/1966,2.83E+02,9.88E+00
2/1/1966,2.83E+02,1.02E+01
3/1/1966,2.83E+02,9.64E+00
4/1/1966,2.83E+02,9.99E+00
5/1/1966,2.84E+02,1.06E+01
6/1/1966,2.83E+02,9.99E+00
7/1/1966,2.83E+02,1.02E+01
8/1/1966,2.83E+02,9.57E+00
9/1/1966,2.83E+02,9.62E+00
10/1/1966,2.83E+02,1.00E+01
11/1/1966,2.82E+02,9.19E+00
12/1/1966,2.82E+02,8.45E+00
1/1/1967,2.82E+02,8.69E+00
2/1/1967,2.82E+02,8.39E+00
3/1/1967,2.82E+02,8.50E+00
4/1/1967,2.83E+02,9.41E+00
5/1/1967,2.83E+02,9.44E+00
6/1/1967,2.82E+02,9.11E+00
7/1/1967,2.82E+02,9.29E+00
8/1/1967,2.83E+02,9.53E+00
9/1/1967,2.83E+02,9.55E+00
10/1/1967,2.83E+02,9.72E+00
11/1/1967,2.82E+02,9.16E+00
12/1/1967,2.82E+02,8.68E+00
1/1/1968,2.82E+02,9.11E+00
2/1/1968,2.83E+02,9.42E+00
3/1/1968,2.82E+02,9.27E+00
4/1/1968,2.83E+02,9.99E+00
5/1/1968,2.83E+02,1.00E+01
6/1/1968,2.84E+02,1.05E+01
7/1/1968,2.84E+02,1.04E+01
8/1/1968,2.83E+02,1.02E+01
9/1/1968,2.84E+02,1.04E+01
10/1/1968,2.84E+02,1.07E+01
11/1/1968,2.84E+02,1.04E+01
12/1/1968,2.83E+02,1.03E+01
1/1/1969,2.84E+02,1.04E+01
2/1/1969,2.83E+02,1.03E+01
3/1/1969,2.83E+02,1.01E+01
4/1/1969,2.84E+02,1.10E+01
5/1/1969,2.85E+02,1.14E+01
6/1/1969,2.85E+02,1.17E+01
7/1/1969,2.85E+02,1.14E+01
8/1/1969,2.85E+02,1.15E+01
9/1/1969,2.85E+02,1.19E+01
10/1/1969,2.85E+02,1.17E+01
11/1/1969,2.85E+02,1.21E+01
12/1/1969,2.85E+02,1.20E+01
1/1/1970,2.85E+02,1.18E+01
2/1/1970,2.85E+02,1.17E+01
3/1/1970,2.85E+02,1.21E+01
4/1/1970,2.85E+02,1.21E+01
5/1/1970,2.86E+02,1.24E+01
6/1/1970,2.85E+02,1.15E+01
7/1/1970,2.84E+02,1.08E+01
8/1/1970,2.84E+02,1.06E+01
9/1/1970,2.83E+02,1.03E+01
10/1/1970,2.83E+02,1.02E+01
11/1/1970,2.82E+02,9.30E+00
12/1/1970,2.82E+02,8.91E+00
1/1/1971,2.82E+02,8.85E+00
2/1/1971,2.82E+02,9.04E+00
3/1/1971,2.82E+02,8.82E+00
4/1/1971,2.83E+02,9.51E+00
5/1/1971,2.83E+02,9.89E+00
6/1/1971,2.83E+02,9.72E+00
7/1/1971,2.83E+02,9.66E+00
8/1/1971,2.82E+02,9.22E+00
9/1/1971,2.83E+02,9.65E+00
10/1/1971,2.82E+02,9.13E+00
11/1/1971,2.82E+02,8.59E+00
12/1/1971,2.82E+02,8.57E+00
1/1/1972,2.82E+02,8.91E+00
2/1/1972,2.83E+02,9.41E+00
3/1/1972,2.82E+02,9.29E+00
4/1/1972,2.83E+02,1.00E+01
5/1/1972,2.83E+02,1.01E+01
6/1/1972,2.83E+02,9.70E+00
7/1/1972,2.83E+02,9.83E+00
8/1/1972,2.83E+02,9.96E+00
9/1/1972,2.83E+02,9.89E+00
10/1/1972,2.83E+02,9.85E+00
11/1/1972,2.82E+02,9.15E+00
12/1/1972,2.82E+02,9.11E+00
1/1/1973,2.82E+02,8.80E+00
2/1/1973,2.83E+02,9.70E+00
3/1/1973,2.83E+02,9.51E+00
4/1/1973,2.83E+02,1.03E+01
5/1/1973,2.83E+02,1.01E+01
6/1/1973,2.84E+02,1.07E+01
7/1/1973,2.83E+02,1.02E+01
8/1/1973,2.84E+02,1.07E+01
9/1/1973,2.83E+02,1.03E+01
10/1/1973,2.83E+02,9.99E+00
11/1/1973,2.83E+02,9.55E+00
12/1/1973,2.82E+02,9.17E+00
1/1/1974,2.82E+02,9.27E+00
2/1/1974,2.83E+02,9.75E+00
3/1/1974,2.83E+02,1.00E+01
4/1/1974,2.83E+02,9.97E+00
5/1/1974,2.84E+02,1.09E+01
6/1/1974,2.84E+02,1.12E+01
7/1/1974,2.84E+02,1.10E+01
8/1/1974,2.84E+02,1.06E+01
9/1/1974,2.84E+02,1.11E+01
10/1/1974,2.84E+02,1.09E+01
11/1/1974,2.84E+02,1.11E+01
12/1/1974,2.83E+02,1.02E+01
1/1/1975,2.84E+02,1.11E+01
2/1/1975,2.84E+02,1.08E+01
3/1/1975,2.84E+02,1.10E+01
4/1/1975,2.85E+02,1.17E+01
5/1/1975,2.85E+02,1.20E+01
6/1/1975,2.85E+02,1.20E+01
7/1/1975,2.84E+02,1.11E+01
8/1/1975,2.84E+02,1.07E+01
9/1/1975,2.84E+02,1.06E+01
10/1/1975,2.83E+02,1.03E+01
11/1/1975,2.83E+02,9.85E+00
12/1/1975,2.82E+02,9.10E+00
1/1/1976,2.82E+02,8.77E+00
2/1/1976,2.83E+02,9.41E+00
3/1/1976,2.83E+02,9.37E+00
4/1/1976,2.83E+02,9.86E+00
5/1/1976,2.83E+02,9.91E+00
6/1/1976,2.83E+02,9.75E+00
7/1/1976,2.83E+02,9.70E+00
8/1/1976,2.83E+02,9.66E+00
9/1/1976,2.83E+02,9.65E+00
10/1/1976,2.83E+02,9.37E+00
11/1/1976,2.82E+02,9.28E+00
12/1/1976,2.82E+02,8.60E+00
1/1/1977,2.82E+02,8.86E+00
2/1/1977,2.82E+02,8.83E+00
3/1/1977,2.83E+02,9.56E+00
4/1/1977,2.83E+02,9.70E+00
5/1/1977,2.83E+02,1.02E+01
6/1/1977,2.84E+02,1.05E+01
7/1/1977,2.83E+02,1.02E+01
8/1/1977,2.84E+02,1.05E+01
9/1/1977,2.84E+02,1.05E+01
10/1/1977,2.83E+02,1.01E+01
11/1/1977,2.83E+02,9.70E+00
12/1/1977,2.83E+02,1.01E+01
1/1/1978,2.82E+02,9.34E+00
2/1/1978,2.83E+02,9.83E+00
3/1/1978,2.83E+02,1.01E+01
4/1/1978,2.84E+02,1.12E+01
5/1/1978,2.85E+02,1.14E+01
6/1/1978,2.85E+02,1.14E+01
7/1/1978,2.84E+02,1.12E+01
8/1/1978,2.84E+02,1.11E+01
9/1/1978,2.84E+02,1.10E+01
10/1/1978,2.84E+02,1.10E+01
11/1/1978,2.85E+02,1.14E+01
12/1/1978,2.84E+02,1.10E+01
1/1/1979,2.84E+02,1.07E+01
2/1/1979,2.85E+02,1.14E+01
3/1/1979,2.85E+02,1.22E+01
4/1/1979,2.85E+02,1.23E+01
5/1/1979,2.86E+02,1.25E+01
6/1/1979,2.86E+02,1.25E+01
7/1/1979,2.85E+02,1.18E+01
8/1/1979,2.84E+02,1.11E+01
9/1/1979,2.84E+02,1.05E+01
10/1/1979,2.84E+02,1.07E+01
11/1/1979,2.83E+02,9.88E+00
12/1/1979,2.83E+02,9.96E+00
1/1/1980,2.83E+02,9.54E+00
2/1/1980,2.83E+02,9.49E+00
3/1/1980,2.83E+02,9.86E+00
4/1/1980,2.83E+02,9.53E+00
5/1/1980,2.83E+02,9.79E+00
6/1/1980,2.82E+02,9.27E+00
7/1/1980,2.83E+02,9.60E+00
8/1/1980,2.82E+02,9.19E+00
9/1/1980,2.82E+02,9.20E+00
10/1/1980,2.83E+02,9.39E+00
11/1/1980,2.82E+02,8.73E+00
12/1/1980,2.82E+02,8.38E+00
1/1/1981,2.82E+02,8.47E+00
2/1/1981,2.81E+02,7.88E+00
3/1/1981,2.82E+02,8.41E+00
4/1/1981,2.83E+02,9.42E+00
5/1/1981,2.83E+02,9.90E+00
6/1/1981,2.83E+02,9.82E+00
7/1/1981,2.83E+02,1.00E+01
8/1/1981,2.83E+02,9.75E+00
9/1/1981,2.83E+02,1.00E+01
10/1/1981,2.83E+02,9.76E+00
11/1/1981,2.82E+02,9.31E+00
12/1/1981,2.82E+02,8.46E+00
1/1/1982,2.83E+02,9.41E+00
2/1/1982,2.83E+02,9.57E+00
3/1/1982,2.83E+02,9.66E+00
4/1/1982,2.83E+02,1.01E+01
5/1/1982,2.84E+02,1.07E+01
6/1/1982,2.84E+02,1.11E+01
7/1/1982,2.84E+02,1.07E+01
8/1/1982,2.84E+02,1.05E+01
9/1/1982,2.84E+02,1.04E+01
10/1/1982,2.84E+02,1.05E+01
11/1/1982,2.83E+02,1.00E+01
12/1/1982,2.83E+02,9.71E+00
1/1/1983,2.83E+02,9.61E+00
2/1/1983,2.83E+02,9.91E+00
3/1/1983,2.84E+02,1.05E+01
4/1/1983,2.84E+02,1.05E+01
5/1/1983,2.84E+02,1.10E+01
6/1/1983,2.84E+02,1.12E+01
7/1/1983,2.84E+02,1.10E+01
8/1/1983,2.84E+02,1.09E+01
9/1/1983,2.84E+02,1.07E+01
10/1/1983,2.84E+02,1.11E+01
11/1/1983,2.84E+02,1.07E+01
12/1/1983,2.83E+02,9.97E+00
1/1/1984,2.83E+02,9.92E+00
2/1/1984,2.83E+02,1.02E+01
3/1/1984,2.84E+02,1.08E+01
4/1/1984,2.84E+02,1.09E+01
5/1/1984,2.84E+02,1.13E+01
6/1/1984,2.84E+02,1.10E+01
7/1/1984,2.84E+02,1.12E+01
8/1/1984,2.83E+02,1.02E+01
9/1/1984,2.84E+02,1.05E+01
10/1/1984,2.83E+02,1.01E+01
11/1/1984,2.83E+02,9.60E+00
12/1/1984,2.82E+02,8.90E+00
1/1/1985,2.82E+02,9.00E+00
2/1/1985,2.83E+02,9.37E+00
3/1/1985,2.82E+02,9.26E+00
4/1/1985,2.83E+02,1.02E+01
5/1/1985,2.83E+02,1.03E+01
6/1/1985,2.83E+02,1.02E+01
7/1/1985,2.83E+02,9.82E+00
8/1/1985,2.83E+02,9.99E+00
9/1/1985,2.82E+02,9.17E+00
10/1/1985,2.83E+02,9.97E+00
11/1/1985,2.83E+02,1.01E+01
12/1/1985,2.82E+02,8.70E+00
1/1/1986,2.82E+02,8.61E+00
2/1/1986,2.83E+02,9.36E+00
3/1/1986,2.82E+02,9.08E+00
4/1/1986,2.83E+02,9.52E+00
5/1/1986,2.83E+02,9.63E+00
6/1/1986,2.83E+02,9.91E+00
7/1/1986,2.83E+02,1.02E+01
8/1/1986,2.83E+02,1.01E+01
9/1/1986,2.84E+02,1.08E+01
10/1/1986,2.83E+02,1.00E+01
11/1/1986,2.84E+02,1.04E+01
12/1/1986,2.82E+02,9.19E+00
1/1/1987,2.82E+02,8.96E+00
2/1/1987,2.83E+02,9.45E+00
3/1/1987,2.83E+02,9.60E+00
4/1/1987,2.83E+02,1.03E+01
5/1/1987,2.84E+02,1.07E+01
6/1/1987,2.84E+02,1.12E+01
7/1/1987,2.84E+02,1.07E+01
8/1/1987,2.84E+02,1.06E+01
9/1/1987,2.84E+02,1.07E+01
10/1/1987,2.84E+02,1.11E+01
11/1/1987,2.84E+02,1.05E+01
12/1/1987,2.83E+02,9.80E+00
1/1/1988,2.83E+02,1.03E+01
2/1/1988,2.84E+02,1.08E+01
3/1/1988,2.85E+02,1.16E+01
4/1/1988,2.85E+02,1.18E+01
5/1/1988,2.85E+02,1.21E+01
6/1/1988,2.86E+02,1.24E+01
7/1/1988,2.85E+02,1.20E+01
8/1/1988,2.85E+02,1.18E+01
9/1/1988,2.85E+02,1.16E+01
10/1/1988,2.85E+02,1.17E+01
11/1/1988,2.85E+02,1.19E+01
12/1/1988,2.85E+02,1.16E+01
1/1/1989,2.84E+02,1.09E+01
2/1/1989,2.85E+02,1.15E+01
3/1/1989,2.85E+02,1.16E+01
4/1/1989,2.85E+02,1.21E+01
5/1/1989,2.85E+02,1.22E+01
6/1/1989,2.85E+02,1.18E+01
7/1/1989,2.84E+02,1.13E+01
8/1/1989,2.84E+02,1.09E+01
9/1/1989,2.84E+02,1.12E+01
10/1/1989,2.84E+02,1.09E+01
11/1/1989,2.84E+02,1.07E+01
12/1/1989,2.83E+02,1.01E+01
1/1/1990,2.83E+02,1.02E+01
2/1/1990,2.84E+02,1.05E+01
3/1/1990,2.83E+02,1.02E+01
4/1/1990,2.84E+02,1.04E+01
5/1/1990,2.84E+02,1.06E+01
6/1/1990,2.83E+02,1.02E+01
7/1/1990,2.83E+02,1.02E+01
8/1/1990,2.83E+02,1.02E+01
9/1/1990,2.84E+02,1.04E+01
10/1/1990,2.83E+02,9.86E+00
11/1/1990,2.83E+02,9.84E+00
12/1/1990,2.81E+02,8.35E+00
1/1/1991,2.82E+02,8.97E+00
2/1/1991,2.83E+02,9.64E+00
3/1/1991,2.82E+02,9.24E+00
4/1/1991,2.83E+02,9.78E+00
5/1/1991,2.83E+02,9.64E+00
6/1/1991,2.83E+02,9.90E+00
7/1/1991,2.83E+02,9.96E+00
8/1/1991,2.83E+02,9.86E+00
9/1/1991,2.83E+02,9.79E+00
10/1/1991,2.82E+02,9.33E+00
11/1/1991,2.83E+02,9.50E+00
12/1/1991,2.82E+02,9.08E+00
1/1/1992,2.83E+02,9.43E+00
2/1/1992,2.82E+02,8.66E+00
3/1/1992,2.83E+02,1.00E+01
4/1/1992,2.83E+02,9.93E+00
5/1/1992,2.84E+02,1.07E+01
6/1/1992,2.84E+02,1.07E+01
7/1/1992,2.84E+02,1.08E+01
8/1/1992,2.84E+02,1.08E+01
9/1/1992,2.84E+02,1.06E+01
10/1/1992,2.84E+02,1.09E+01
11/1/1992,2.83E+02,1.02E+01
12/1/1992,2.84E+02,1.04E+01
1/1/1993,2.84E+02,1.05E+01
2/1/1993,2.84E+02,1.07E+01
3/1/1993,2.84E+02,1.07E+01
4/1/1993,2.84E+02,1.12E+01
5/1/1993,2.85E+02,1.18E+01
6/1/1993,2.85E+02,1.19E+01
7/1/1993,2.85E+02,1.16E+01
8/1/1993,2.85E+02,1.14E+01
9/1/1993,2.84E+02,1.13E+01
10/1/1993,2.84E+02,1.13E+01
11/1/1993,2.84E+02,1.10E+01
12/1/1993,2.84E+02,1.08E+01
1/1/1994,2.84E+02,1.06E+01
2/1/1994,2.84E+02,1.06E+01
3/1/1994,2.84E+02,1.11E+01
4/1/1994,2.85E+02,1.14E+01
5/1/1994,2.84E+02,1.09E+01
6/1/1994,2.85E+02,1.15E+01
7/1/1994,2.84E+02,1.12E+01
8/1/1994,2.84E+02,1.04E+01
9/1/1994,2.84E+02,1.04E+01
10/1/1994,2.83E+02,9.94E+00
11/1/1994,2.83E+02,9.55E+00
12/1/1994,2.82E+02,9.17E+00
1/1/1995,2.82E+02,8.54E+00
2/1/1995,2.82E+02,9.10E+00
3/1/1995,2.83E+02,9.90E+00
4/1/1995,2.83E+02,9.98E+00
5/1/1995,2.83E+02,1.00E+01
6/1/1995,2.83E+02,1.01E+01
7/1/1995,2.83E+02,1.02E+01
8/1/1995,2.83E+02,1.01E+01
9/1/1995,2.83E+02,9.90E+00
10/1/1995,2.83E+02,1.02E+01
11/1/1995,2.83E+02,9.88E+00
12/1/1995,2.82E+02,9.16E+00
1/1/1996,2.82E+02,9.30E+00
2/1/1996,2.82E+02,8.98E+00
3/1/1996,2.82E+02,9.30E+00
4/1/1996,2.83E+02,9.98E+00
5/1/1996,2.84E+02,1.05E+01
6/1/1996,2.84E+02,1.07E+01
7/1/1996,2.84E+02,1.08E+01
8/1/1996,2.84E+02,1.04E+01
9/1/1996,2.84E+02,1.04E+01
10/1/1996,2.84E+02,1.06E+01
11/1/1996,2.83E+02,1.03E+01
12/1/1996,2.83E+02,1.02E+01
1/1/1997,2.83E+02,1.03E+01
2/1/1997,2.83E+02,1.01E+01
3/1/1997,2.83E+02,1.03E+01
4/1/1997,2.84E+02,1.08E+01
5/1/1997,2.84E+02,1.11E+01
6/1/1997,2.84E+02,1.12E+01
7/1/1997,2.84E+02,1.07E+01
8/1/1997,2.84E+02,1.09E+01
9/1/1997,2.84E+02,1.09E+01
10/1/1997,2.84E+02,1.08E+01
11/1/1997,2.84E+02,1.05E+01
12/1/1997,2.84E+02,1.05E+01
1/1/1998,2.83E+02,1.03E+01
2/1/1998,2.83E+02,9.69E+00
3/1/1998,2.83E+02,1.03E+01
4/1/1998,2.85E+02,1.14E+01
5/1/1998,2.85E+02,1.17E+01
6/1/1998,2.85E+02,1.19E+01
7/1/1998,2.84E+02,1.13E+01
8/1/1998,2.84E+02,1.12E+01
9/1/1998,2.84E+02,1.12E+01
10/1/1998,2.84E+02,1.09E+01
11/1/1998,2.84E+02,1.12E+01
12/1/1998,2.84E+02,1.07E+01
1/1/1999,2.84E+02,1.06E+01
2/1/1999,2.84E+02,1.08E+01
3/1/1999,2.84E+02,1.08E+01
4/1/1999,2.85E+02,1.18E+01
5/1/1999,2.85E+02,1.14E+01
6/1/1999,2.85E+02,1.18E+01
7/1/1999,2.84E+02,1.11E+01
8/1/1999,2.84E+02,1.05E+01
9/1/1999,2.84E+02,1.06E+01
10/1/1999,2.84E+02,1.08E+01
11/1/1999,2.83E+02,9.95E+00
12/1/1999,2.82E+02,9.25E+00
1/1/2000,2.82E+02,8.71E+00
2/1/2000,2.82E+02,8.54E+00
3/1/2000,2.83E+02,9.64E+00
4/1/2000,2.83E+02,9.50E+00
5/1/2000,2.84E+02,1.04E+01
6/1/2000,2.83E+02,1.03E+01
7/1/2000,2.84E+02,1.06E+01
8/1/2000,2.83E+02,9.74E+00
9/1/2000,2.83E+02,1.00E+01
10/1/2000,2.83E+02,1.01E+01
11/1/2000,2.82E+02,8.89E+00
12/1/2000,2.82E+02,9.09E+00
